week,value
10,7.2
11,4.4
12,4
13,5.7
14,11.8
15,10.3
16,9.9
17,13.3
18,12.1
19,12
20,10
21,10.3
22,10.3
23,9.9
24,10.8
25,10.8
26,11.5
27,9.7
28,10.7
29,12.2
