week,value
10,0.1
11,0.4
12,1.8
13,4.5
14,4.6
15,4.4
16,5.2
17,5.6
18,5.4
19,5.1
20,5
21,5
22,4.4
23,3.6
24,3.3
25,3.3
26,4.1
27,4.9
28,4.7
29,3.3
