week,value
10,0.5
11,1.8
12,8.5
13,22
14,29.5
15,30.2
16,32.4
17,31.1
18,29
19,23.1
20,21.5
21,20
22,16
23,12.3
24,9.1
25,8.6
26,8.6
27,12
28,13.2
29,8.7
