week,value
10,15.9
11,12.3
12,13
13,21.6
14,24.8
15,27.1
16,24.5
17,20
18,14.9
19,12.1
20,8.6
21,6.8
22,5.3
23,4.3
24,4
25,3.8
26,4.5
27,4
28,5.6
29,5.8
