week,value
10,0
11,0
12,0.1
13,0.1
14,0.2
15,0.1
16,0.1
17,0.3
18,0.4
19,0.4
20,0.3
21,0.5
22,0.5
23,0.4
24,0.3
25,0.2
26,0.4
27,0.6
28,0.6
29,0.4
