week,value
10,7
11,6.9
12,6.9
13,6.8
14,6.7
15,6.7
16,6.6
17,6.5
18,6.4
19,6.3
20,6.2
21,6
22,5.9
23,5.8
24,5.7
25,5.6
26,5.5
27,5.4
28,5.4
29,5.3
