week,value
10,12
11,10.1
12,10
13,16.4
14,17.8
15,18.3
16,18.2
17,16.5
18,12.9
19,10.8
20,8.5
21,6.9
22,5.7
23,5
24,5.2
25,5.5
26,6.5
27,6.1
28,7.5
29,8
