week,value
10,7.3
11,7.3
12,7.2
13,7.1
14,7.1
15,7
16,6.9
17,6.8
18,6.7
19,6.6
20,6.5
21,6.4
22,6.3
23,6.2
24,6
25,5.9
26,5.9
27,5.8
28,5.7
29,5.6
