week,value
10,10.2
11,9
12,8.5
13,12.9
14,13
15,12.7
16,14.6
17,14.6
18,12.2
19,10.7
20,8.9
21,7.1
22,6
23,5.5
24,5.8
25,6.4
26,7.6
27,7
28,8.3
29,8.8
