week,value
10,0.1
11,1.3
12,4.7
13,13
14,16.3
15,15
16,15.3
17,13.4
18,13.6
19,12.5
20,11.4
21,10.6
22,8.4
23,6.8
24,5.6
25,5.9
26,6.5
27,7.6
28,8.4
29,5.8
