week,value
10,12.9
11,12.3
12,11.5
13,18.9
14,19.3
15,18.3
16,17.4
17,16.2
18,12.1
19,9.4
20,7.2
21,5.9
22,4.9
23,4.1
24,4.3
25,4.5
26,5.1
27,5.2
28,6.5
29,6.9
