week,count
10,2.2
11,3.2
12,4.7
13,4.3
14,3.5
15,2.5
16,1.8
17,1.4
18,1.1
19,0.9
20,0.8
21,0.7
22,0.6
23,0.6
24,0.6
25,0.8
26,0.9
27,1.1
28,1.1
29,1
