week,value
10,4.4
11,2.8
12,2.2
13,4.1
14,5.9
15,4.8
16,8
17,6.1
18,9.1
19,5.9
20,7.5
21,7
22,9
23,8
24,9.8
25,9.2
26,9.8
27,9.7
28,9
29,9.6
