week,value
10,0
11,0
12,0
13,0.4
14,0.6
15,0.5
16,0.6
17,0.5
18,0.6
19,0.5
20,0.7
21,0.9
22,0.7
23,0.8
24,0.8
25,0.9
26,0.6
27,0.6
28,0.9
29,0.5
